# === Stations Metadata ===
# north.cnv: Lat=42.491, Lon=3.188, X=-121.7, Y=877.7
# south.cnv: Lat=42.475, Lon=3.187, X=-203.8, Y=-891.5
# east.cnv: Lat=42.483, Lon=3.201, X=945.5, Y=-6.884
# west.cnv: Lat=42.483, Lon=3.177, X=-1025.0, Y=-6.884
# === Triangles Metadata ===
# triangle_T1_from: north_south_east
# triangle_T2_from: north_south_west
# triangle_T3_from: north_east_west
# triangle_T4_from: south_east_west
# =========================
depth_m,density (kg/m^3),specific_volume (m^3/kg),salinity (PSU),temperature (degC),source_file,drho_dx_T1,drho_dx_T2,drho_dx_T3,drho_dx_T4,drho_dy_T1,drho_dy_T2,drho_dy_T3,drho_dy_T4,dsv_dx,dsv_dy,vx_isob_array_cm_s,vy_isob_array_cm_s,vx_isop_T1_cm_s,vy_isop_T1_cm_s,vx_isop_T2_cm_s,vy_isop_T2_cm_s,vx_isop_T3_cm_s,vy_isop_T3_cm_s,vx_isop_T4_cm_s,vy_isop_T4_cm_s
1.0,1026.5154,0.0009742,37.86,21.58,north.cnv,1.999e-05,-9.867e-05,-3.192e-05,-3.192e-05,-6.576e-05,-6.025e-05,-0.0001284,1.686e-06,3.029e-11,6.152e-11,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2.0,1026.5903,0.0009741,37.95,21.59,north.cnv,-1.48e-05,-4.304e-05,-2.715e-05,-2.715e-05,-4.792e-05,-4.661e-05,-6.283e-05,-3.187e-05,2.576e-11,4.612e-11,-0.4682351435249313,0.2615294296878194,-0.46562539598159897,0.14380750961034358,-0.45289648803635907,0.4182077847046749,-0.6105017451903979,0.2638090463460019,-0.3096719818433547,0.2638090463460019
3.0,1026.5986,0.0009741,37.96,21.58,north.cnv,-9.023e-06,-3.005e-05,-1.822e-05,-1.822e-05,-5.305e-05,-5.208e-05,-6.415e-05,-4.11e-05,1.729e-11,5.073e-11,-0.9832734963224111,0.43706684580980687,-0.9810975841457021,0.23148150685454155,-0.9589434542868114,0.7101953295554063,-1.2338295655622586,0.44084775074468163,-0.7090293227207277,0.44084775074468163
4.0,1026.6095,0.0009741,37.96,21.57,north.cnv,1.471e-05,-2.448e-05,-2.436e-06,-2.436e-06,-4.839e-05,-4.657e-05,-6.907e-05,-2.611e-05,2.311e-12,4.526e-11,-1.4427774554711186,0.4605293656859152,-1.4512898402297918,0.08854850237020681,-1.4114512733782776,0.9480607238298124,-1.9049636661559364,0.4645176894886544,-0.9627329764995163,0.4645176894886544
5.0,1026.626,0.0009741,37.97,21.56,north.cnv,4.403e-05,-1.613e-05,1.771e-05,1.771e-05,-4.715e-05,-4.436e-05,-7.89e-05,-1.295e-05,-1.68e-11,4.279e-11,-1.8772046408881138,0.28996669415038084,-1.909433359022204,-0.3392788387205653,-1.8424851332644154,1.1047914758578423,-2.6716131599570248,0.2924345141373581,-1.088564547408567,0.2924345141373581
6.0,1026.6468,0.000974,37.99,21.53,north.cnv,6.478e-05,-1.647e-05,2.923e-05,2.923e-05,-5.071e-05,-4.694e-05,-9.36e-05,-4.522e-06,-2.773e-11,4.526e-11,-2.3367086000368213,0.00843676071702556,-2.402168413910077,-0.968728194974488,-2.29858814009614,1.2648259139174611,-3.5810984910062253,0.008414682656929543,-1.1325035716287002,0.008414682656929543
7.0,1026.6751,0.000974,38.0,21.49,north.cnv,1.863e-05,-1.085e-05,5.735e-06,5.735e-06,-5.371e-05,-5.235e-05,-6.927e-05,-3.696e-05,-5.44e-12,5.013e-11,-2.8456554288508893,-0.046793056732576055,-2.924053639664912,-1.1497507560583191,-2.807258621724619,1.3702523652196386,-4.254175936324367,-0.047310727317078596,-1.4916336767096663,-0.047310727317078596
8.0,1026.7064,0.000974,38.02,21.44,north.cnv,-4.101e-05,-2.442e-05,-3.375e-05,-3.375e-05,-4.857e-05,-4.934e-05,-3.982e-05,-5.8e-05,3.202e-11,4.788e-11,-3.331759042727162,0.27829127318217456,-3.3959949060010186,-0.751267920306955,-3.286681765249913,1.6075347560767055,-4.64109587096517,0.2806286949362387,-2.055203646804256,0.2806286949362387
9.0,1026.7476,0.0009739,38.04,21.36,north.cnv,-7.115e-05,-3.672e-05,-5.608e-05,-5.608e-05,-4.864e-05,-5.024e-05,-3.047e-05,-6.821e-05,5.32e-11,4.927e-11,-3.831974687165006,0.8184063997113667,-3.8686163429906886,-0.05992303457885055,-3.7748499600352954,1.9643328474883148,-4.937164439737276,0.825542555675973,-2.7179813650827382,0.825542555675973
10.0,1026.7965,0.0009739,38.06,21.26,north.cnv,-9.483e-05,-5.789e-05,-7.867e-05,-7.867e-05,-5.45e-05,-5.621e-05,-3.5e-05,-7.55e-05,7.461e-11,5.586e-11,-4.399095570020658,1.5758874070486417,-4.398177780407156,0.8615138665258038,-4.321026994845932,2.5268339779844493,-5.277249766518493,1.5899572030439277,-3.4515939985679367,1.5899572030439277
11.0,1026.8569,0.0009738,38.08,21.12,north.cnv,-0.000108,-9.449e-05,-0.0001021,-0.0001021,-4.58e-05,-4.643e-05,-3.869e-05,-5.346e-05,9.679e-11,4.819e-11,-4.88834647128836,2.5585517509727116,-4.843203722309436,1.9109200177364192,-4.772174472630273,3.4449671930575145,-5.653189803466074,2.5820346848828524,-3.9710500434171916,2.5820346848828524
