HH:MM:SS	Tv290C	Sal00	FlECO-AFL	TurbWETntu0	Density00	PrdM	DepSM
08:43:26	21.6212	37.9600	0.1317	0.3134	1026.5798	1.009	1.000
08:43:26	21.6203	37.9609	0.0911	0.3709	1026.5819	1.260	1.250
08:43:27	21.6187	37.9604	0.0641	0.4140	1026.5830	1.512	1.500
08:43:28	21.6175	37.9606	0.0461	0.4221	1026.5849	1.764	1.750
08:43:28	21.6157	37.9603	0.0358	0.4182	1026.5861	2.015	2.000
08:43:29	21.6135	37.9594	0.0453	0.4151	1026.5868	2.268	2.250
08:43:29	21.6122	37.9602	0.0547	0.4140	1026.5892	2.520	2.500
08:43:30	21.6114	37.9606	0.0475	0.4140	1026.5909	2.772	2.750
08:43:30	21.6105	37.9606	0.0404	0.4143	1026.5925	3.023	3.000
08:43:31	21.6097	37.9607	0.0388	0.4156	1026.5941	3.275	3.250
08:43:31	21.6093	37.9613	0.0390	0.4172	1026.5957	3.528	3.500
08:43:32	21.6096	37.9621	0.0369	0.4179	1026.5971	3.780	3.750
08:43:32	21.6096	37.9617	0.0345	0.4176	1026.5978	4.032	4.000
08:43:33	21.6090	37.9611	0.0402	0.4161	1026.5988	4.284	4.250
08:43:33	21.6077	37.9604	0.0518	0.4140	1026.5996	4.536	4.500
08:43:34	21.6062	37.9601	0.0552	0.4131	1026.6008	4.788	4.750
08:43:34	21.6038	37.9597	0.0522	0.4134	1026.6019	5.040	5.000
08:43:35	21.5996	37.9578	0.0522	0.4141	1026.6022	5.292	5.250
08:43:35	21.5945	37.9564	0.0539	0.4146	1026.6034	5.544	5.500
08:43:36	21.5901	37.9573	0.0530	0.4138	1026.6068	5.796	5.750
08:43:36	21.5873	37.9593	0.0514	0.4121	1026.6104	6.047	6.000
08:43:37	21.5859	37.9605	0.0531	0.4115	1026.6129	6.299	6.250
08:43:37	21.5841	37.9601	0.0579	0.4116	1026.6143	6.551	6.500
08:43:38	21.5815	37.9593	0.0619	0.4120	1026.6154	6.804	6.750
08:43:38	21.5770	37.9573	0.0658	0.4133	1026.6159	7.056	7.000
08:43:39	21.5709	37.9556	0.0692	0.4145	1026.6171	7.308	7.250
08:43:39	21.5653	37.9571	0.0700	0.4142	1026.6210	7.560	7.500
08:43:40	21.5612	37.9583	0.0692	0.4144	1026.6243	7.811	7.750
08:43:40	21.5575	37.9591	0.0667	0.4153	1026.6272	8.063	8.000
08:43:41	21.5484	37.9552	0.0659	0.4160	1026.6262	8.315	8.250
08:43:41	21.5255	37.9431	0.0676	0.4167	1026.6206	8.567	8.500
08:43:42	21.4828	37.9223	0.0702	0.4180	1026.6120	8.819	8.750
08:43:42	21.4292	37.9041	0.0730	0.4207	1026.6102	9.071	9.000
08:43:43	21.3780	37.9056	0.0763	0.4245	1026.6277	9.323	9.250
08:43:43	21.3432	37.9229	0.0785	0.4256	1026.6567	9.576	9.500
08:43:44	21.3270	37.9475	0.0815	0.4249	1026.6871	9.828	9.750
08:43:44	21.3202	37.9591	0.0814	0.4240	1026.7014	10.079	10.000
08:43:45	21.3135	37.9613	0.0782	0.4225	1026.7064	10.331	10.250
08:43:45	21.3043	37.9594	0.0750	0.4202	1026.7078	10.584	10.500
08:43:46	21.2901	37.9534	0.0733	0.4190	1026.7067	10.836	10.750
08:43:46	21.2756	37.9504	0.0749	0.4213	1026.7092	11.088	11.000
08:43:47	21.2647	37.9544	0.0777	0.4237	1026.7171	11.339	11.250
08:43:47	21.2496	37.9531	0.0795	0.4246	1026.7203	11.591	11.500
08:43:48	21.2202	37.9380	0.0802	0.4242	1026.7137	11.843	11.750
08:43:48	21.1802	37.9228	0.0810	0.4241	1026.7114	12.096	12.000
08:43:49	21.1425	37.9266	0.0849	0.4251	1026.7275	12.347	12.250
08:43:49	21.1124	37.9422	0.0895	0.4258	1026.7526	12.599	12.500
08:43:50	21.0910	37.9500	0.0877	0.4238	1026.7670	12.851	12.750
08:43:50	21.0737	37.9510	0.0857	0.4238	1026.7739	13.103	13.000
08:43:51	21.0589	37.9522	0.0843	0.4256	1026.7805	13.355	13.250
08:43:51	21.0463	37.9536	0.0843	0.4273	1026.7867	13.607	13.500
08:43:52	21.0375	37.9566	0.0851	0.4276	1026.7936	13.859	13.750
08:43:52	21.0344	37.9628	0.0858	0.4276	1026.8020	14.112	14.000
08:43:53	21.0342	37.9670	0.0873	0.4277	1026.8073	14.363	14.250
08:43:53	21.0321	37.9664	0.0897	0.4277	1026.8081	14.615	14.500
08:43:54	21.0239	37.9594	0.0897	0.4279	1026.8045	14.867	14.750
08:43:54	21.0091	37.9517	0.0853	0.4285	1026.8022	15.119	15.000
08:43:54	20.9921	37.9523	0.0845	0.4275	1026.8084	15.371	15.250
08:43:55	20.9702	37.9499	0.0917	0.4240	1026.8122	15.623	15.500
08:43:56	20.9370	37.9386	0.0926	0.4228	1026.8105	15.875	15.750
08:43:56	20.8882	37.9210	0.0888	0.4240	1026.8065	16.127	16.000
08:43:57	20.8292	37.9033	0.0889	0.4259	1026.8060	16.379	16.250
08:43:57	20.7721	37.8961	0.0911	0.4284	1026.8159	16.631	16.500
08:43:57	20.7170	37.8981	0.0932	0.4302	1026.8336	16.883	16.750
08:43:58	20.6551	37.8961	0.0952	0.4316	1026.8492	17.135	17.000
08:43:58	20.5847	37.8935	0.0971	0.4330	1026.8669	17.387	17.250
08:43:59	20.5116	37.9008	0.0982	0.4350	1026.8957	17.639	17.500
08:43:59	20.4493	37.9243	0.0995	0.4388	1026.9373	17.891	17.750
08:44:00	20.4067	37.9410	0.1008	0.4383	1026.9667	18.143	18.000
08:44:01	20.3760	37.9460	0.1022	0.4373	1026.9813	18.395	18.250
08:44:01	20.3529	37.9499	0.1040	0.4411	1026.9929	18.647	18.500
08:44:01	20.3360	37.9523	0.1056	0.4481	1027.0015	18.899	18.750
08:44:02	20.3217	37.9547	0.1064	0.4531	1027.0092	19.151	19.000
08:44:02	20.3079	37.9568	0.1070	0.4583	1027.0164	19.403	19.250
08:44:03	20.2952	37.9597	0.1074	0.4628	1027.0240	19.655	19.500
08:44:03	20.2830	37.9619	0.1083	0.4671	1027.0304	19.907	19.750
08:44:04	20.2677	37.9590	0.1109	0.4738	1027.0324	20.159	20.000
08:44:04	20.2505	37.9546	0.1155	0.4842	1027.0342	20.411	20.250
08:44:05	20.2364	37.9569	0.1184	0.4881	1027.0415	20.663	20.500
08:44:05	20.2263	37.9613	0.1196	0.4840	1027.0498	20.916	20.750
08:44:06	20.2189	37.9633	0.1193	0.4798	1027.0551	21.168	21.000
08:44:06	20.2135	37.9639	0.1196	0.4830	1027.0586	21.419	21.250
08:44:07	20.2098	37.9654	0.1205	0.4901	1027.0625	21.671	21.500
08:44:07	20.2073	37.9670	0.1230	0.5010	1027.0659	21.923	21.750
08:44:08	20.2057	37.9677	0.1272	0.5098	1027.0682	22.175	22.000
08:44:08	20.2047	37.9680	0.1323	0.5048	1027.0699	22.427	22.250
08:44:09	20.2041	37.9681	0.1373	0.4955	1027.0713	22.680	22.500
08:44:09	20.2035	37.9679	0.1390	0.4928	1027.0723	22.931	22.750
08:44:10	20.2025	37.9672	0.1390	0.4941	1027.0729	23.183	23.000
08:44:10	20.2005	37.9657	0.1370	0.4982	1027.0731	23.435	23.250
08:44:11	20.1974	37.9638	0.1333	0.5040	1027.0735	23.688	23.500
08:44:11	20.1942	37.9634	0.1336	0.5046	1027.0754	23.939	23.750
08:44:12	20.1917	37.9648	0.1377	0.4994	1027.0784	24.191	24.000
08:44:12	20.1895	37.9653	0.1399	0.4937	1027.0804	24.443	24.250
08:44:13	20.1863	37.9641	0.1391	0.4903	1027.0810	24.695	24.500
08:44:13	20.1817	37.9620	0.1357	0.4925	1027.0813	24.947	24.750
08:44:14	20.1764	37.9602	0.1315	0.4972	1027.0823	25.199	25.000
08:44:15	20.1717	37.9607	0.1331	0.4998	1027.0854	25.451	25.250
08:44:15	20.1681	37.9624	0.1388	0.5006	1027.0891	25.703	25.500
08:44:16	20.1648	37.9631	0.1412	0.4985	1027.0916	25.955	25.750
08:44:16	20.1594	37.9605	0.1440	0.4940	1027.0915	26.207	26.000
