HH:MM:SS	Tv290C	Sal00	FlECO-AFL	TurbWETntu0	Density00	PrdM	DepSM
09:21:46	21.3920	37.9501	0.0550	0.4362	1026.6402	1.009	1.000
09:21:47	21.4359	37.9557	0.0567	0.4365	1026.6376	1.260	1.250
09:21:48	21.4741	37.9661	0.0583	0.4340	1026.6372	1.512	1.500
09:21:48	21.5021	37.9680	0.0612	0.4291	1026.6302	1.764	1.750
09:21:49	21.5171	37.9600	0.0627	0.4269	1026.6177	2.016	2.000
09:21:49	21.5182	37.9497	0.0644	0.4264	1026.6072	2.268	2.250
09:21:50	21.5013	37.9343	0.0676	0.4266	1026.5963	2.520	2.500
09:21:50	21.4637	37.9084	0.0727	0.4281	1026.5818	2.772	2.750
09:21:51	21.4179	37.8880	0.0753	0.4309	1026.5763	3.024	3.000
09:21:51	21.3761	37.8979	0.0734	0.4383	1026.5996	3.276	3.250
09:21:52	21.3467	37.9173	0.0708	0.4440	1026.6284	3.528	3.500
09:21:52	21.3293	37.9309	0.0683	0.4460	1026.6479	3.779	3.750
09:21:53	21.3204	37.9368	0.0670	0.4468	1026.6576	4.031	4.000
09:21:53	21.3150	37.9394	0.0689	0.4487	1026.6629	4.283	4.250
09:21:54	21.3111	37.9408	0.0721	0.4508	1026.6667	4.536	4.500
09:21:54	21.3083	37.9417	0.0745	0.4518	1026.6696	4.788	4.750
09:21:55	21.3067	37.9429	0.0777	0.4522	1026.6724	5.040	5.000
09:21:55	21.3059	37.9437	0.0813	0.4522	1026.6748	5.291	5.250
09:21:56	21.3053	37.9443	0.0863	0.4518	1026.6766	5.543	5.500
09:21:56	21.3048	37.9443	0.0876	0.4521	1026.6778	5.795	5.750
09:21:57	21.3042	37.9440	0.0843	0.4528	1026.6788	6.047	6.000
09:21:57	21.3035	37.9438	0.0835	0.4516	1026.6798	6.300	6.250
09:21:58	21.3029	37.9440	0.0873	0.4465	1026.6810	6.552	6.500
09:21:58	21.3023	37.9436	0.0888	0.4431	1026.6820	6.804	6.750
09:21:59	21.3015	37.9434	0.0850	0.4461	1026.6832	7.056	7.000
09:21:59	21.3009	37.9434	0.0825	0.4497	1026.6846	7.307	7.250
09:22:00	21.3003	37.9434	0.0831	0.4528	1026.6860	7.559	7.500
09:22:00	21.2998	37.9434	0.0849	0.4549	1026.6874	7.811	7.750
09:22:01	21.2993	37.9436	0.0862	0.4551	1026.6888	8.063	8.000
09:22:01	21.2985	37.9432	0.0871	0.4535	1026.6894	8.315	8.250
09:22:02	21.2969	37.9422	0.0902	0.4503	1026.6899	8.567	8.500
09:22:02	21.2945	37.9411	0.0930	0.4487	1026.6905	8.819	8.750
09:22:03	21.2911	37.9392	0.0932	0.4506	1026.6909	9.071	9.000
09:22:03	21.2874	37.9382	0.0924	0.4547	1026.6923	9.324	9.250
09:22:04	21.2836	37.9380	0.0921	0.4554	1026.6944	9.575	9.500
