"// SOMLIT somlit.fr";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"// hydro 49e25aa808a84afd";2025-09-10;13:00:41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID_SITE;DATE;HEURE;COEF_MAREE;MAREE;PROF_TEXT;PROF_NUM;nomSite*;gpsLat*;gpsLong*;T;qT;S;qS;O;qO;PH;qPH;NH4;qNH4;NO3;qNO3;NO2;qNO2;PO4;qPO4;SIOH4;qSIOH4;COP;qCOP;NOP;qNOP;MES;qMES;CHLA;qCHLA
//;(yyyy-mm-dd);(hh:mm:ss);-;-;-;m;;(wgs84);(wgs84);°C;;PSU;;ml/l;;;;µmol/l;;µmol/l;;µmol/l;;µmol/l;;µmol/l;;µg/l;;µg/l;;mg/l;;µg/l;
10;2014-01-13;08:28:43;0.00;inc;S;3.00;Sola;42.4883;3.145;12.438;2;34.278;2;6.14;6;7.961;2;0.130;6;9.52;6;0.72;6;0.08;6;10.99;6;218.430;2;27.710;2;1.155;2;1.75;6
10;2014-01-13;08:31:25;0.00;inc;F;24.00;Sola;42.4883;3.145;13.549;2;37.876;2;5.48;6;8.027;2;0.062;6;2.14;6;0.69;6;0.06;2;3.17;6;114.090;2;14.930;2;1.465;2;0.43;6
10;2014-01-22;07:56:14;0.00;inc;S;3.00;Sola;42.4883;3.145;12.678;2;37.556;2;5.33;6;8.127;2;0.079;2;2.04;6;0.55;6;0.03;2;3.11;6;169.380;2;17.410;2;2.035;2;0.96;6
10;2014-01-22;07:56:49;0.00;inc;F;24.00;Sola;42.4883;3.145;12.639;2;37.542;2;5.43;6;8.136;2;0.073;6;2.08;6;0.56;6;0.03;2;3.13;6;107.910;2;16.700;2;4.365;2;0.89;6
10;2014-01-29;07:39:57;0.00;inc;S;3.00;Sola;42.4883;3.145;12.177;2;37.451;2;999999;1;8.122;2;0.042;6;1.72;6;0.44;6;0.03;6;2.31;6;139.260;2;19.010;2;1.755;2;4.05;6
10;2014-01-29;07:40:32;0.00;inc;F;24.00;Sola;42.4883;3.145;12.174;2;37.465;2;5.75;2;8.118;2;0.066;6;1.77;6;0.44;6;0.02;2;2.28;6;117.960;2;17.410;2;2.490;2;2.11;6
10;2014-02-03;08:28:06;0.00;inc;S;3.00;Sola;42.4883;3.145;12.250;2;37.510;2;3.88;4;8.110;2;0.044;6;1.84;6;0.36;6;0.04;2;2.64;6;135.260;2;19.720;2;3.610;2;1.43;6
10;2014-02-03;08:29:46;0.00;inc;F;24.00;Sola;42.4883;3.145;12.404;2;37.704;2;5.29;6;8.120;2;0.069;6;1.66;6;0.35;6;0.02;6;2.50;6;97.410;2;14.210;2;2.400;2;1.27;6
10;2014-02-10;09:02:46;0.00;inc;S;3.00;Sola;42.4883;3.145;12.122;2;37.683;2;4.80;6;8.120;2;0.073;6;1.45;6;0.36;6;0.06;6;1.90;6;128.760;2;18.650;2;4.390;6;1.56;6
10;2014-02-10;09:03:21;0.00;inc;F;24.00;Sola;42.4883;3.145;12.122;2;37.684;2;4.85;6;8.120;2;0.073;6;1.43;6;0.37;6;0.06;6;1.91;6;114.460;2;17.050;2;4.530;6;1.73;6
10;2014-02-17;07:54:10;0.00;inc;S;3.00;Sola;42.4883;3.145;12.012;2;37.732;2;4.88;2;8.110;2;0.063;6;1.21;6;0.48;6;0.03;6;1.29;6;188.550;2;24.870;2;5.020;2;1.64;6
10;2014-02-17;07:54:43;0.00;inc;F;24.00;Sola;42.4883;3.145;12.011;2;37.718;2;5.69;2;8.120;2;0.064;6;1.20;6;0.47;6;0.04;6;1.24;6;117.420;2;18.120;2;3.580;2;2.18;6
10;2014-02-24;08:06:09;0.00;inc;S;3.00;Sola;42.4883;3.145;12.661;2;37.950;2;5.73;2;8.110;2;0.092;6;1.73;6;0.33;6;0.06;2;2.48;6;146.010;2;18.120;2;1.550;2;0.74;6
